Praca;Programas;Nivel;Data;Diadasemana;Tdur;Ini;Fim;RAT;SHR
RJ;TODA FORMA DE AMAR;2;10/06/2019;Segunda-feira;00:30;17:59:00;18:29:00;21,497022;35,373531
RJ;TODA FORMA DE AMAR;2;11/06/2019;Terça-feira;00:30;18:01:00;18:31:00;19,834843;34,631713
RJ;TODA FORMA DE AMAR;2;12/06/2019;Quarta-feira;00:29;17:42:00;18:11:00;18,274572;34,034124
RJ;TODA FORMA DE AMAR;2;13/06/2019;Quinta-feira;00:31;17:52:00;18:23:00;19,70635;33,918938
RJ;TODA FORMA DE AMAR;2;14/06/2019;Sexta-feira;00:29;17:30:30;17:45:00;17,933084;35,331892
RJ;TODA FORMA DE AMAR;2;17/06/2019;Segunda-feira;00:30;17:56:00;18:26:00;21,717162;35,426588
RJ;TODA FORMA DE AMAR;2;18/06/2019;Terça-feira;00:24;17:57:00;18:21:00;23,435641;38,155711
RJ;TODA FORMA DE AMAR;2;19/06/2019;Quarta-feira;00:30;17:37:00;18:07:00;18,453929;35,762378
RJ;TODA FORMA DE AMAR;2;20/06/2019;Quinta-feira;00:29;18:00:00;18:29:00;20,395241;35,487316
RJ;TODA FORMA DE AMAR;2;21/06/2019;Sexta-feira;00:29;18:04:00;18:33:00;21,496102;37,127864
RJ;TODA FORMA DE AMAR;2;24/06/2019;Segunda-feira;00:30;18:03:00;18:33:00;20,739933;35,182862
RJ;TODA FORMA DE AMAR;2;25/06/2019;Terça-feira;00:31;17:52:00;18:23:00;18,953699;33,773968
RJ;TODA FORMA DE AMAR;2;26/06/2019;Quarta-feira;00:29;18:04:00;18:33:00;20,798017;35,647452
RJ;TODA FORMA DE AMAR;2;27/06/2019;Quinta-feira;00:31;17:36:00;18:07:00;19,131807;34,519161
RJ;TODA FORMA DE AMAR;2;28/06/2019;Sexta-feira;00:30;18:01:00;18:31:00;18,675459;33,770984
RJ;TODA FORMA DE AMAR;2;01/07/2019;Segunda-feira;00:31;17:57:00;18:28:00;20,647154;36,267537
RJ;TODA FORMA DE AMAR;2;02/07/2019;Terça-feira;00:31;17:40:00;18:11:00;19,675199;35,046201
RJ;TODA FORMA DE AMAR;2;03/07/2019;Quarta-feira;00:30;18:05:00;18:35:00;21,117676;35,802336
RJ;TODA FORMA DE AMAR;2;04/07/2019;Quinta-feira;00:31;17:51:00;18:22:00;20,60728;35,209412
RJ;TODA FORMA DE AMAR;2;05/07/2019;Sexta-feira;00:30;17:55:00;18:25:00;22,137171;37,516514
RJ;TODA FORMA DE AMAR;2;08/07/2019;Segunda-feira;00:30;17:56:00;18:26:00;22,223887;37,263465
RJ;TODA FORMA DE AMAR;2;09/07/2019;Terça-feira;00:31;17:53:00;18:24:00;20,530057;35,553868
RJ;TODA FORMA DE AMAR;2;10/07/2019;Quarta-feira;00:31;17:33:00;18:04:00;18,837477;35,923995
RJ;TODA FORMA DE AMAR;2;11/07/2019;Quinta-feira;00:29;17:55:00;18:24:00;20,62624;36,518902
RJ;TODA FORMA DE AMAR;2;12/07/2019;Sexta-feira;00:28;18:00:00;18:28:00;19,734491;36,173024
RJ;TODA FORMA DE AMAR;2;15/07/2019;Segunda-feira;00:30;18:02:00;18:32:00;20,311238;34,166856
RJ;TODA FORMA DE AMAR;2;16/07/2019;Terça-feira;00:30;17:58:00;18:28:00;22,968546;35,485328
RJ;TODA FORMA DE AMAR;2;17/07/2019;Quarta-feira;00:31;17:39:00;18:10:00;20,435343;35,731632
RJ;TODA FORMA DE AMAR;2;18/07/2019;Quinta-feira;00:33;17:51:00;18:24:00;19,832305;35,235049
RJ;TODA FORMA DE AMAR;2;19/07/2019;Sexta-feira;00:30;17:56:00;18:26:00;18,075005;33,502208
RJ;TODA FORMA DE AMAR;2;22/07/2019;Segunda-feira;00:33;18:00:00;18:33:00;21,549976;38,066996
RJ;TODA FORMA DE AMAR;2;23/07/2019;Terça-feira;00:32;18:01:00;18:33:00;22,524715;38,292254
RJ;TODA FORMA DE AMAR;2;24/07/2019;Quarta-feira;00:32;17:40:00;18:12:00;19,719186;36,463154
RJ;TODA FORMA DE AMAR;2;25/07/2019;Quinta-feira;00:32;17:48:00;18:20:00;22,492897;40,50544
RJ;TODA FORMA DE AMAR;2;26/07/2019;Sexta-feira;00:30;17:40:00;18:10:00;18,262218;36,353159
RJ;TODA FORMA DE AMAR;2;29/07/2019;Segunda-feira;00:30;17:55:00;18:25:00;22,464698;38,242187
RJ;TODA FORMA DE AMAR;2;30/07/2019;Terça-feira;00:30;17:53:00;18:23:00;21,825277;37,806688
RJ;TODA FORMA DE AMAR;2;31/07/2019;Quarta-feira;00:32;17:38:00;18:10:00;21,658572;38,827327
RJ;TODA FORMA DE AMAR;2;01/08/2019;Quinta-feira;00:33;17:57:00;18:30:00;21,560211;37,455239
RJ;TODA FORMA DE AMAR;2;02/08/2019;Sexta-feira;00:31;17:57:00;18:28:00;18,597155;36,872851
